icao24,origin_country,velocity,on_ground
4400ec,Austria,203.04,False
c07070,Canada,51.35,False
ac7115,United States,207.39,False
a64d06,United States,264.31,False
aa929c,United States,324.53,False
a39d9b,United States,113.6,False
343147,Spain,278.07,False
a00966,United States,38.57,False
a3915a,United States,129.17,False
471f9a,Hungary,220.54,False
a76d03,United States,138.51,False
e48ba9,Brazil,156.8,False
ac21c3,United States,270.1,False
8014c1,India,7.72,True
e49eca,Brazil,218.8,False
7c1c5c,Australia,8.75,True
8014af,India,218.4,False
a52d30,United States,35.51,False
a40d7a,United States,256.46,False
471f86,Hungary,165.6,False
86d5e0,Japan,281.42,False
a94b6b,United States,223.77,False
495305,Portugal,181.51,False
495306,Portugal,5.4,True
8014bb,India,125.5,False
acba1b,United States,215.31,False
abfac6,United States,150.75,False
a33afa,United States,218.03,False
c04826,Canada,247.39,False
e49ed4,Brazil,210.47,False
471f6d,Hungary,172.82,False
e0b284,Argentina,1.03,True
3b7b88,France,62.47,False
471f6e,Hungary,241.89,False
e49ed5,Brazil,229.67,False
a4278e,United States,235.34,False
a3f436,United States,96.2,False
ace74e,United States,216.45,False
a4d7e4,United States,206.91,False
a4d7e5,United States,0.19,True
abad6c,United States,215.81,False
a95275,United States,108.87,False
84cb5b,Japan,244.7,False
aa927a,United States,196.96,False
8014cf,India,179.78,False
4248ca,United Kingdom,246.05,False
8014ce,India,226.45,False
471f7a,Hungary,202.81,False
344459,Spain,136.26,False
ac712d,United States,234.46,False
344455,Spain,232.47,False
a8e2f6,United States,26.23,False
a617d2,United States,71.59,False
3c6746,Germany,142.28,False
471f68,Hungary,223.21,False
aa0909,United States,103.53,False
471f69,Hungary,165.83,False
3c6744,Germany,203.36,False
440cfe,Austria,163.18,False
a8f789,United States,83.18,False
a0a6c0,United States,58.1,False
3c6747,Germany,146.93,False
a63a7d,United States,192.14,False
a9178d,United States,69.45,False
471f64,Hungary,162.06,False
a9ea22,United States,38.65,False
a09322,United States,198.22,False
471f65,Hungary,234.26,False
471f62,Hungary,204.2,False
471f63,Hungary,193.24,False
a94ae3,United States,202.73,False
a4b1fe,United States,1.8,True
a1bfba,United States,61.73,False
a1d9e0,United States,59.43,False
a94ae5,United States,14.4,True
a99a52,United States,187.77,False
344449,Spain,184.47,False
abb2d5,United States,102.83,False
3c6741,Germany,198.86,False
471f4c,Hungary,192.44,False
a8f77c,United States,202.9,False
344446,Spain,38.07,True
471f4a,Hungary,216.14,False
a28fac,United States,40.96,False
3c5425,Germany,82.31,False
471f77,Hungary,229.55,False
adebb6,United States,94.8,False
ad4250,United States,45.89,False
471f78,Hungary,0.73,False
0d123a,Mexico,152.73,False
a951d6,United States,223.8,False
e4936a,Brazil,225.95,False
0d0b67,Mexico,283.41,False
3c6758,Germany,164.44,False
471f71,Hungary,155.0,False
471f72,Hungary,223.31,False
aa2a7f,United States,214.48,False
471f75,Hungary,234.95,False
